ServiceName,Node,CPUs,Memory
cassandra,0,0.5,0
cassandra-schema,0,0,0
compose-post-service,0,0.5,0
home-timeline-redis,1,0.5,0
home-timeline-service,1,0.5,0
jaeger-agent,2,0.5,0
jaeger-collector,2,0.5,0
jaeger-query,3,0.5,0
media-frontend,3,0.5,0
media-memcached,4,0.5,0
media-mongodb,4,0.5,0
media-service,5,0.5,0
nginx-web-server,5,0.5,0
post-storage-memcached,6,0.5,0
post-storage-mongodb,6,0.5,0
post-storage-service,7,0.5,0
social-graph-mongodb,7,0.5,0
social-graph-redis,8,0.5,0
social-graph-service,8,0.5,0
text-service,9,0.5,0
unique-id-service,9,0.5,0
url-shorten-memcached,10,0.5,0
url-shorten-mongodb,10,0.5,0
url-shorten-service,11,0.5,0
user-memcached,11,0.5,0
user-mention-service,12,0.5,0
user-mongodb,12,0.5,0
user-service,13,0.5,0
user-timeline-mongodb,13,0.5,0
user-timeline-redis,14,0.5,0
user-timeline-service,14,0.5,0
