ServiceName,Node,CPUs,Memory,Socket
cassandra,0,0,0,0
cassandra-schema,0,0,0,-1
compose-post-service,0,0,0,1
home-timeline-redis,1,0,0,0
home-timeline-service,1,0,0,1
jaeger-agent,2,0,0,0
jaeger-collector,2,0,0,1
jaeger-query,3,0,0,0
media-frontend,3,0,0,1
media-memcached,4,0,0,0
media-mongodb,4,0,0,1
media-service,5,0,0,0
nginx-web-server,5,0,0,1
post-storage-memcached,6,0,0,0
post-storage-mongodb,6,0,0,1
post-storage-service,7,0,0,0
social-graph-mongodb,7,0,0,1
social-graph-redis,8,0,0,0
social-graph-service,8,0,0,1
text-service,9,0,0,0
unique-id-service,9,0,0,1
url-shorten-memcached,10,0,0,0
url-shorten-mongodb,10,0,0,1
url-shorten-service,15,0,0,0
user-memcached,11,0,0,1
user-mention-service,12,0,0,0
user-mongodb,12,0,0,1
user-service,13,0,0,0
user-timeline-mongodb,13,0,0,1
user-timeline-redis,14,0,0,0
user-timeline-service,14,0,0,1
